date,temperature_C,precipitation_mm
2018-01-01,21.95,0.0
2018-01-02,22.52,0.54
2018-01-03,22.25,1.29
2018-01-04,21.46,0.29
2018-01-05,21.83,0.02
2018-01-06,20.93,0.16
2018-01-07,21.37,0.09
2018-01-08,21.73,0.03
2018-01-09,21.65,0.14
2018-01-10,21.48,0.31
2018-01-11,20.54,0.76
2018-01-12,20.18,0.22
2018-01-13,19.54,0.04
2018-01-14,20.64,0.07
2018-01-15,20.86,0.0
2018-01-16,21.16,0.0
2018-01-17,21.58,0.18
2018-01-18,22.4,0.01
2018-01-19,22.3,0.27
2018-01-20,21.51,0.21
2018-01-21,21.29,0.03
2018-01-22,20.94,0.43
2018-01-23,21.13,0.11
2018-01-24,21.69,0.56
2018-01-25,22.25,3.98
2018-01-26,22.72,3.79
2018-01-27,22.41,0.14
2018-01-28,22.19,0.02
2018-01-29,22.05,0.0
2018-01-30,22.57,0.02
2018-01-31,21.99,0.06
2018-02-01,22.1,0.01
2018-02-02,21.45,0.02
2018-02-03,21.89,0.0
2018-02-04,22.09,0.02
2018-02-05,21.82,5.06
2018-02-06,21.17,0.89
2018-02-07,20.56,0.17
2018-02-08,20.14,0.0
2018-02-09,20.79,0.0
2018-02-10,21.64,0.16
2018-02-11,21.56,0.76
2018-02-12,21.44,0.06
2018-02-13,21.85,0.3
2018-02-14,21.8,1.66
2018-02-15,22.02,0.22
2018-02-16,22.32,0.27
2018-02-17,22.1,0.08
2018-02-18,22.47,0.07
2018-02-19,23.18,0.43
2018-02-20,22.54,5.86
2018-02-21,23.71,0.15
2018-02-22,23.37,0.4
2018-02-23,22.83,0.52
2018-02-24,23.04,0.41
2018-02-25,24.28,0.2
2018-02-26,24.27,0.02
2018-02-27,24.3,0.2
2018-02-28,23.41,0.83
2018-03-01,22.76,23.49
2018-03-02,20.5,22.64
2018-03-03,20.41,23.36
2018-03-04,19.5,9.34
2018-03-05,20.15,4.41
2018-03-06,20.31,3.09
2018-03-07,21.41,0.75
2018-03-08,21.87,1.32
2018-03-09,22.25,0.45
2018-03-10,22.82,0.32
2018-03-11,22.36,1.77
2018-03-12,21.98,3.71
2018-03-13,21.04,12.94
2018-03-14,21.31,15.41
2018-03-15,19.96,42.32
2018-03-16,20.02,19.19
2018-03-17,21.43,18.22
2018-03-18,21.44,3.39
2018-03-19,20.4,8.74
2018-03-20,19.52,32.93
2018-03-21,19.73,7.81
2018-03-22,20.04,1.16
2018-03-23,20.52,0.56
2018-03-24,20.79,1.17
2018-03-25,20.11,5.27
2018-03-26,20.48,3.47
2018-03-27,20.39,5.8
2018-03-28,20.1,4.57
2018-03-29,19.96,2.85
2018-03-30,19.76,1.46
2018-03-31,20.09,1.48
2018-04-01,20.57,3.67
2018-04-02,20.33,4.85
2018-04-03,20.57,4.99
2018-04-04,20.27,14.28
2018-04-05,20.21,4.46
2018-04-06,20.46,10.92
2018-04-07,20.44,9.81
2018-04-08,20.22,7.03
2018-04-09,20.27,6.79
2018-04-10,20.41,18.01
2018-04-11,20.17,19.74
2018-04-12,20.17,5.44
2018-04-13,19.36,9.0
2018-04-14,19.74,4.36
2018-04-15,19.38,41.48
2018-04-16,19.73,29.92
2018-04-17,19.63,43.61
2018-04-18,20.09,29.48
2018-04-19,19.1,44.24
2018-04-20,19.81,39.98
2018-04-21,19.19,40.52
2018-04-22,19.32,15.05
2018-04-23,19.83,60.81
2018-04-24,19.61,18.93
2018-04-25,19.63,5.82
2018-04-26,20.02,8.36
2018-04-27,19.29,11.52
2018-04-28,19.35,6.93
2018-04-29,19.19,2.61
2018-04-30,18.89,12.76
2018-05-01,18.68,20.04
2018-05-02,17.29,5.77
2018-05-03,18.98,1.83
2018-05-04,19.24,1.83
2018-05-05,19.4,2.88
2018-05-06,19.2,7.03
2018-05-07,19.12,3.55
2018-05-08,18.77,2.61
2018-05-09,19.13,3.22
2018-05-10,19.26,13.22
2018-05-11,18.41,6.79
2018-05-12,19.9,1.09
2018-05-13,20.36,3.25
2018-05-14,19.9,15.52
2018-05-15,19.32,3.11
2018-05-16,19.25,2.62
2018-05-17,19.01,1.3
2018-05-18,19.03,4.88
2018-05-19,18.46,8.91
2018-05-20,18.59,19.19
2018-05-21,18.79,20.38
2018-05-22,18.21,10.63
2018-05-23,18.59,5.11
2018-05-24,18.84,6.12
2018-05-25,18.79,4.28
2018-05-26,18.75,2.97
2018-05-27,18.7,1.97
2018-05-28,18.17,0.64
2018-05-29,17.83,0.1
2018-05-30,18.87,0.06
2018-05-31,19.09,1.62
2018-06-01,19.79,1.08
2018-06-02,19.46,2.38
2018-06-03,18.88,4.84
2018-06-04,17.89,9.27
2018-06-05,17.45,14.38
2018-06-06,17.03,5.36
2018-06-07,16.81,2.24
2018-06-08,17.01,2.24
2018-06-09,17.58,1.99
2018-06-10,17.66,0.44
2018-06-11,17.29,0.04
2018-06-12,17.81,0.25
2018-06-13,17.71,0.76
2018-06-14,17.82,0.81
2018-06-15,18.35,1.32
2018-06-16,18.12,3.37
2018-06-17,18.17,3.34
2018-06-18,17.51,1.91
2018-06-19,17.43,0.9
2018-06-20,17.91,0.43
2018-06-21,17.96,0.36
2018-06-22,18.02,0.75
2018-06-23,18.12,2.4
2018-06-24,17.49,5.59
2018-06-25,15.77,5.5
2018-06-26,17.21,1.45
2018-06-27,17.16,1.65
2018-06-28,17.61,0.76
2018-06-29,17.75,3.95
2018-06-30,17.81,2.96
2018-07-01,17.7,1.93
2018-07-02,17.31,2.31
2018-07-03,17.63,2.59
2018-07-04,17.11,3.56
2018-07-05,16.45,1.28
2018-07-06,16.39,0.41
2018-07-07,16.45,0.55
2018-07-08,16.69,0.76
2018-07-09,17.02,1.63
2018-07-10,17.34,1.41
2018-07-11,16.72,1.59
2018-07-12,17.12,1.49
2018-07-13,17.47,2.48
2018-07-14,17.0,2.12
2018-07-15,17.15,0.49
2018-07-16,16.61,0.2
2018-07-17,17.56,0.16
2018-07-18,16.96,0.25
2018-07-19,17.13,0.48
2018-07-20,16.54,0.74
2018-07-21,16.5,1.27
2018-07-22,16.67,0.68
2018-07-23,16.11,0.51
2018-07-24,16.59,0.64
2018-07-25,16.8,1.14
2018-07-26,16.72,0.44
2018-07-27,17.35,0.62
2018-07-28,18.12,0.22
2018-07-29,18.33,2.38
2018-07-30,18.17,3.07
2018-07-31,18.23,1.86
2018-08-01,18.63,0.52
2018-08-02,18.95,0.12
2018-08-03,18.94,0.14
2018-08-04,17.99,0.46
2018-08-05,17.39,1.54
2018-08-06,17.45,0.68
2018-08-07,17.28,0.07
2018-08-08,17.94,0.18
2018-08-09,18.42,0.81
2018-08-10,18.2,2.23
2018-08-11,16.92,0.89
2018-08-12,17.24,0.52
2018-08-13,16.77,0.38
2018-08-14,16.96,0.27
2018-08-15,16.87,0.81
2018-08-16,17.15,0.76
2018-08-17,17.52,1.85
2018-08-18,17.02,1.69
2018-08-19,16.96,0.5
2018-08-20,17.33,0.4
2018-08-21,17.99,0.34
2018-08-22,18.33,0.48
2018-08-23,18.08,1.04
2018-08-24,18.42,4.38
2018-08-25,18.25,1.75
2018-08-26,18.88,2.8
2018-08-27,18.38,5.82
2018-08-28,17.88,6.51
2018-08-29,17.4,1.76
2018-08-30,17.19,0.75
2018-08-31,17.57,1.64
2018-09-01,18.14,0.96
2018-09-02,18.38,1.45
2018-09-03,18.34,1.23
2018-09-04,18.83,2.75
2018-09-05,18.77,1.37
2018-09-06,18.57,2.76
2018-09-07,18.73,0.49
2018-09-08,18.79,0.54
2018-09-09,19.55,0.32
2018-09-10,19.77,1.09
2018-09-11,19.28,0.28
2018-09-12,18.85,0.26
2018-09-13,19.68,1.18
2018-09-14,20.18,0.32
2018-09-15,19.23,0.14
2018-09-16,19.24,0.05
2018-09-17,19.18,0.07
2018-09-18,19.09,0.18
2018-09-19,19.04,0.4
2018-09-20,19.23,0.36
2018-09-21,20.02,1.29
2018-09-22,19.55,1.69
2018-09-23,19.13,0.71
2018-09-24,19.35,0.78
2018-09-25,19.92,1.74
2018-09-26,20.51,1.1
2018-09-27,19.58,2.81
2018-09-28,20.46,0.86
2018-09-29,19.87,0.56
2018-09-30,19.53,0.08
2018-10-01,18.9,0.07
2018-10-02,19.25,0.31
2018-10-03,19.83,1.05
2018-10-04,19.91,1.61
2018-10-05,20.5,1.61
2018-10-06,20.85,2.74
2018-10-07,20.77,3.21
2018-10-08,19.47,8.08
2018-10-09,19.81,1.44
2018-10-10,19.2,0.82
2018-10-11,19.92,0.61
2018-10-12,20.67,0.22
2018-10-13,21.22,0.71
2018-10-14,20.73,0.5
2018-10-15,20.97,1.69
2018-10-16,21.27,1.03
2018-10-17,21.07,4.42
2018-10-18,21.02,3.49
2018-10-19,20.78,4.0
2018-10-20,20.61,0.72
2018-10-21,20.66,0.67
2018-10-22,20.0,1.55
2018-10-23,18.51,3.71
2018-10-24,19.69,1.73
2018-10-25,20.07,4.49
2018-10-26,20.22,7.47
2018-10-27,20.06,4.57
2018-10-28,20.16,1.54
2018-10-29,20.42,2.28
2018-10-30,20.48,0.48
2018-10-31,20.59,0.8
2018-11-01,19.85,4.49
2018-11-02,20.06,23.0
2018-11-03,20.12,4.72
2018-11-04,20.2,0.88
2018-11-05,20.15,0.27
2018-11-06,20.45,0.08
2018-11-07,21.22,0.19
2018-11-08,21.52,0.49
2018-11-09,21.57,1.28
2018-11-10,20.84,3.02
2018-11-11,20.85,5.18
2018-11-12,20.94,1.99
2018-11-13,20.54,3.47
2018-11-14,20.23,6.01
2018-11-15,20.66,2.04
2018-11-16,21.05,0.05
2018-11-17,20.97,1.74
2018-11-18,21.34,1.74
2018-11-19,20.8,3.37
2018-11-20,20.97,4.42
2018-11-21,20.52,4.45
2018-11-22,20.69,1.44
2018-11-23,20.89,0.45
2018-11-24,20.82,1.61
2018-11-25,20.24,6.15
2018-11-26,20.45,1.87
2018-11-27,20.9,2.26
2018-11-28,20.7,5.39
2018-11-29,19.85,4.63
2018-11-30,20.14,0.98
2018-12-01,20.12,5.44
2018-12-02,19.96,5.24
2018-12-03,20.26,9.04
2018-12-04,20.48,8.25
2018-12-05,20.61,0.73
2018-12-06,20.75,3.02
2018-12-07,20.9,0.72
2018-12-08,19.9,27.89
2018-12-09,20.35,3.33
2018-12-10,19.49,12.35
2018-12-11,18.61,13.75
2018-12-12,19.99,1.08
2018-12-13,19.58,3.64
2018-12-14,19.42,37.35
2018-12-15,19.32,3.56
2018-12-16,19.87,0.13
2018-12-17,19.82,0.39
2018-12-18,20.18,0.68
2018-12-19,19.89,1.95
2018-12-20,19.87,0.25
2018-12-21,20.25,1.2
2018-12-22,20.42,2.02
2018-12-23,20.49,0.72
2018-12-24,20.13,0.23
2018-12-25,20.05,0.51
2018-12-26,19.79,0.16
2018-12-27,19.96,1.23
2018-12-28,20.34,0.69
2018-12-29,21.03,1.11
2018-12-30,20.85,1.88
2018-12-31,20.22,4.02
2019-01-01,20.3,1.22
2019-01-02,20.67,0.12
2019-01-03,20.76,1.73
2019-01-04,19.94,8.1
2019-01-05,19.56,12.34
2019-01-06,20.02,0.6
2019-01-07,20.24,0.01
2019-01-08,20.49,0.45
2019-01-09,20.08,0.16
2019-01-10,19.64,0.91
2019-01-11,20.37,0.42
2019-01-12,19.65,0.0
2019-01-13,19.75,0.58
2019-01-14,20.77,0.42
2019-01-15,19.86,2.63
2019-01-16,20.73,1.01
2019-01-17,21.23,0.0
2019-01-18,21.73,0.14
2019-01-19,21.28,0.11
2019-01-20,21.89,0.04
2019-01-21,21.51,0.01
2019-01-22,21.9,0.09
2019-01-23,21.37,0.15
2019-01-24,21.4,0.0
2019-01-25,22.28,0.17
2019-01-26,22.28,0.04
2019-01-27,22.01,0.02
2019-01-28,21.49,0.02
2019-01-29,21.35,0.01
2019-01-30,21.77,0.01
2019-01-31,22.2,0.17
2019-02-01,22.11,0.19
2019-02-02,22.25,0.06
2019-02-03,22.72,0.01
2019-02-04,22.31,0.05
2019-02-05,21.58,0.09
2019-02-06,21.35,0.07
2019-02-07,22.52,0.23
2019-02-08,22.34,0.35
2019-02-09,22.24,0.12
2019-02-10,21.35,0.25
2019-02-11,21.59,0.01
2019-02-12,21.47,0.09
2019-02-13,21.41,0.05
2019-02-14,21.85,0.05
2019-02-15,22.92,0.4
2019-02-16,22.41,1.55
2019-02-17,22.76,0.14
2019-02-18,23.24,0.01
2019-02-19,23.94,0.25
2019-02-20,22.73,0.27
2019-02-21,22.21,0.82
2019-02-22,22.59,0.95
2019-02-23,22.15,1.43
2019-02-24,22.32,1.02
2019-02-25,21.7,0.7
2019-02-26,22.06,0.06
2019-02-27,22.23,0.07
2019-02-28,23.39,0.03
2019-03-01,24.31,0.0
2019-03-02,24.97,0.69
2019-03-03,24.93,0.91
2019-03-04,23.31,1.05
